case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JA173553,2017-03-03T18:20:00Z,720 ILCS 570.0/407-B-1,MFG/DEL HEROIN/SCH/PUB HS/PK,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,64697
JB512615,2018-11-12T06:55:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,30661
JA146950,2017-02-09T04:10:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,79927
JA413888,2017-09-01T01:20:00Z,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,58241
JA147047,2017-02-09T06:55:00Z,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,NA,NA,NA,NA,91982
JB215526,2018-04-08T05:09:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,F,720 ILCS 5.0/12-2-C-2,AGG ASSAULT/DISCHARGE FIREARM,F,NA,NA,NA,NA,NA,NA,21350
JC330997,2019-07-02T05:20:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17196
JB118041,2018-04-20T17:00:00Z,720 ILCS 5.0/19-1-A,BURGLARY,F,720 ILCS 5.0/19-1-A,BURGLARY,F,720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,F,720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,F,78943
JA413697,2017-08-31T21:30:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,39851
JC182786,2019-03-12T19:55:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,M,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,49108
JA170054,2017-02-28T20:05:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,83270
JA146773,2017-02-09T01:07:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,42365
JB130261,2018-01-26T17:11:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,12437
JB404337,2018-08-22T22:32:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,36351
JA192286,2017-03-19T10:21:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,37967
