id,case_number,date,iucr,primary_type,fbi_code,fbi_description,address
10940332,JA258009,2017-05-10T14:00:00Z,0486,BATTERY,08B,Simple Battery (index),"035XX W AUGUSTA BLVD, CHICAGO IL"
11619320,JC181050,2019-03-07T22:00:00Z,1153,DECEPTIVE PRACTICE,11,Fraud,"057XX S LAFLIN ST, CHICAGO IL"
11863454,JC475828,2019-10-17T01:00:00Z,0810,THEFT,06,Larceny (index),"027XX W CONGRESS PKWY, CHICAGO IL"
12754587,JF309676,2022-07-08T10:00:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"026XX W NORTH AVE, CHICAGO IL"
12576488,JE488075,2021-12-24T23:00:00Z,041A,BATTERY,04B,Aggravated Battery (index),"019XX W 47TH ST, CHICAGO IL"
12344786,JE204748,2021-04-20T16:54:00Z,0486,BATTERY,08B,Simple Battery (index),"085XX S MACKINAW AVE, CHICAGO IL"
12082467,JD269283,2020-05-31T01:20:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"0000X S WABASH AVE, CHICAGO IL"
11830976,JC436527,2019-09-17T04:53:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"009XX E 104TH ST, CHICAGO IL"
12897366,JF480237,2022-11-19T03:00:00Z,0820,THEFT,06,Larceny (index),"053XX W WARWICK AVE, CHICAGO IL"
12625889,JF153429,2022-02-22T21:00:00Z,0890,THEFT,06,Larceny (index),"041XX N LINCOLN AVE, CHICAGO IL"
12503191,JE398784,2021-10-05T04:10:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"031XX S VERNON AVE, CHICAGO IL"
12550807,JE457133,2021-11-26T02:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"089XX S LAFAYETTE AVE, ELMHURST IL"
11445625,JB434699,2018-09-14T11:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"100XX S EGGLESTON AVE, CHICAGO IL"
10975555,JA299956,2017-06-10T00:30:00Z,0486,BATTERY,08B,Simple Battery (index),"034XX W LEXINGTON ST, CHICAGO IL"
12192125,JD397900,2020-10-13T16:17:00Z,2024,NARCOTICS,18,Drug Abuse,"034XX W LAKE ST, CHICAGO IL"
11110050,JA459904,2017-10-06T00:59:00Z,0860,THEFT,06,Larceny (index),"052XX S LAKE PARK AVE, CHICAGO IL"
12890169,JF471514,2022-11-12T05:31:00Z,0460,BATTERY,08B,Simple Battery (index),"064XX S WHIPPLE ST, CHICAGO IL"
11246713,JB173350,2018-03-04T19:10:00Z,1822,NARCOTICS,18,Drug Abuse,"058XX S MAY ST, CHICAGO IL"
12386996,JE256592,2021-06-07T09:18:00Z,0460,BATTERY,08B,Simple Battery (index),"011XX S ASHLAND AVE, CHICAGO IL"
11869787,JC483210,2019-10-23T14:15:00Z,1821,NARCOTICS,18,Drug Abuse,"079XX S LAFAYETTE AVE, CHICAGO IL"
12479038,JE369384,2021-09-11T03:00:00Z,0820,THEFT,06,Larceny (index),"015XX N OAKLEY BLVD, CHICAGO IL"
12652601,JF186044,2017-02-21T06:00:00Z,1751,OFFENSE INVOLVING CHILDREN,17,Criminal Sexual Abuse,"053XX S SAWYER AVE, CHICAGO IL"
12456233,JE341439,2021-08-10T05:00:00Z,0917,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"010XX S STATE ST, CHICAGO IL"
12708390,JF253683,2022-05-24T15:51:00Z,0860,THEFT,06,Larceny (index),"032XX W NORTH AVE, CHICAGO IL"
11872826,JC486968,2019-10-26T07:00:00Z,5002,OTHER OFFENSE,26,Misc Non-Index Offense,"033XX S JUSTINE ST, CHICAGO IL"
12099907,JD290066,2020-07-04T19:00:00Z,0530,ASSAULT,04A,Aggravated Assault (index),"079XX S NORMAL AVE, CHICAGO IL"
11030773,JA363114,2017-07-25T22:00:00Z,0460,BATTERY,08B,Simple Battery (index),"068XX S BENNETT AVE, CHICAGO IL"
11124038,JA478444,2017-10-13T14:00:00Z,0890,THEFT,06,Larceny (index),"046XX S DREXEL BLVD, CHICAGO IL"
12434514,JE315133,2021-07-25T09:00:00Z,5000,OTHER OFFENSE,26,Misc Non-Index Offense,"0000X E GARFIELD BLVD, CHICAGO IL"
11528247,JB543651,2018-12-05T17:33:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"008XX W OHARE ST, CHICAGO IL"
10976051,JA300725,2017-06-02T00:00:00Z,1120,DECEPTIVE PRACTICE,10,Forgery 7 Counterfeiting,"081XX S PRINCETON AVE, CHICAGO IL"
12458578,JE344361,2021-08-21T04:20:00Z,0326,ROBBERY,03,Robbery (index),"002XX E GARFIELD BLVD, CHICAGO IL"
11604015,JC162135,2019-02-22T22:43:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"059XX W AUGUSTA BLVD, CHICAGO IL"
12187967,JD393087,2020-10-08T21:47:00Z,2026,NARCOTICS,18,Drug Abuse,"037XX W 19TH ST, CHICAGO IL"
12844902,JF417226,2022-10-01T02:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"036XX N WESTERN AVE, CHICAGO IL"
11939872,JD101830,2020-01-02T18:52:00Z,0550,ASSAULT,04A,Aggravated Assault (index),"021XX N MC VICKER AVE, CHICAGO IL"
12463513,JE234377,2021-05-18T13:00:00Z,1812,NARCOTICS,18,Drug Abuse,"033XX W FILLMORE ST, CHICAGO IL"
11811601,JC413280,2019-08-29T05:00:00Z,0917,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"023XX N CALIFORNIA AVE, CHICAGO IL"
11891088,JC491072,2019-08-29T18:35:00Z,2091,NARCOTICS,18,Drug Abuse,"002XX S CANAL ST, CHICAGO IL"
11414446,JB393979,2018-08-14T19:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"016XX E 67TH ST, CHICAGO IL"
12361327,JE225136,2021-05-10T05:29:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"037XX W CHICAGO AVE, CHICAGO IL"
11440558,JB427888,2018-09-09T01:23:00Z,1822,NARCOTICS,18,Drug Abuse,"026XX E 75TH ST, CHICAGO IL"
12906256,JF490947,2022-10-04T05:00:00Z,1130,DECEPTIVE PRACTICE,11,Fraud,"015XX W CULLERTON ST, CHICAGO IL"
11302079,JB246291,2018-05-02T06:46:00Z,0470,PUBLIC PEACE VIOLATION,24,Disorderly Conduct,"060XX S CARPENTER ST, CHICAGO IL"
12735325,JF286194,2022-06-19T23:34:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"053XX N CHRISTIANA AVE, CHICAGO IL"
12142704,JD340417,2020-08-21T20:00:00Z,0810,THEFT,06,Larceny (index),"005XX N LAKE SHORE DR, CHICAGO IL"
11700397,JC278634,2019-05-26T02:20:00Z,0560,ASSAULT,08A,Simple Assult (index),"030XX N CENTRAL AVE, CHICAGO IL"
11737949,JC324870,2019-06-28T00:51:00Z,2024,NARCOTICS,18,Drug Abuse,"055XX S STATE ST, CHICAGO IL"
11545527,JB565798,2018-12-24T14:00:00Z,0486,BATTERY,08B,Simple Battery (index),"078XX S LOWE AVE, CHICAGO IL"
11854960,JC465544,2019-10-09T05:58:00Z,0460,BATTERY,08B,Simple Battery (index),"016XX S ST LOUIS AVE, ELMHURST IL"
11051881,JA388017,2017-08-12T15:30:00Z,0560,ASSAULT,08A,Simple Assult (index),"093XX S BALTIMORE AVE, CHICAGO IL"
11887787,JC505465,2019-11-10T07:00:00Z,0479,BATTERY,04B,Aggravated Battery (index),"0000X W ILLINOIS ST, CHICAGO IL"
12386917,JE256478,2021-06-07T04:50:00Z,0554,ASSAULT,08A,Simple Assult (index),"015XX S CHRISTIANA AVE, CHICAGO IL"
11071893,JA411671,2017-08-30T14:00:00Z,1330,CRIMINAL TRESPASS,26,Misc Non-Index Offense,"017XX W HOWARD ST, CHICAGO IL"
12280329,JE124611,2021-01-27T18:41:00Z,0486,BATTERY,08B,Simple Battery (index),"020XX N LAPORTE AVE, CHICAGO IL"
11456560,JB449096,2018-09-24T15:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"0000X W MARBLE PL, CHICAGO IL"
11055585,JA392362,2017-08-14T23:00:00Z,0820,THEFT,06,Larceny (index),"028XX W 31ST ST, CHICAGO IL"
12765898,JF323377,2022-07-19T05:00:00Z,4387,OTHER OFFENSE,26,Misc Non-Index Offense,"013XX S HEATH AVE, CHICAGO IL"
10969041,JA292851,2017-06-05T03:45:00Z,0890,THEFT,06,Larceny (index),"0000X E WASHINGTON ST, CHICAGO IL"
12652926,JF186636,2022-03-25T20:15:00Z,0620,BURGLARY,05,Burglary (index),"010XX S RACINE AVE, CHICAGO IL"
